Year,Disaster Type,Country,Location,Total Deaths,ISO
2009,Earthquake,Indonesia,"Cianjur, Bandung, Kota Bandung, Garut, Tasikmalaya, Kota Tasilmalaya, Sukabumi, Kota Bogor, Bogor, Ciamis, Sumedang, Kuningan, Kota Banjar, Purwakarta, Kota Cimahi, Kota Sukabumi districts (Jawa Barat province), Cilacap district (Jawa Tengah province), Dki Jakarta province",128,IDN
2009,Flood,India,"Ooty, Coonoor cities (Nilgiris district, Tamil Nadu)",70,IND
2009,Flood,India,Jainta Hills district (Meghalaya province),20,IND
2009,Storm,India,Uttar Pradesh province,32,IND
2009,Storm,China,Guangdong Sheng province,13,CHN
2009,Storm,China,"Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Hainan Sheng provinces",9,CHN
2009,Storm,India,Uttar Pradesh province,20,IND
2009,Drought,China,"Yunnan Sheng, Guizhou Sheng, Sichuan Sheng, Guangxi Zhuangzu Zizhiqu, Chongqing Shi provinces",,CHN
2009,Flood,Afghanistan,Laghman province,11,AFG
2009,Transport accident,Afghanistan,Near Kandahar,16,AFG
2009,Transport accident,Afghanistan,West,10,AFG
2009,Flood,Azerbaijan,Hajigabul district (Aran province),,AZE
2009,Flood,Bangladesh,"Comilla, Chittagong districts (Chittagong province), Dhaka, Rajshahi, Barisal, Khulna, Sylhet provinces",10,BGD
2009,Extreme temperature ,Bangladesh,"Rajbari, Manikganj, Tangail, Sherpur districts (Dhaka province), Damurhuda, Sadar, Jiban Naga (Chuadanga district, Khulna province), Jessore, Bagerhat, Khulna, Meherpur, Satkhira districts (Khulna province), Sadar, Sripur (Magura district, Khulna province), Naogaon, Pabna, Bogra, Sirajganj districts (Rajshahi province), Biral, Fulbari (Dinajpur district, Rangpur province), Fulchari, Sundarganj, Saghata, Gabindaganj, Sadullapu (Gaibandha district, Rangpur province), Tentulia, Debiganj, Atwari (Panchagarh district, Rangpur province), Baliadangi, Haripur, Ranisenkail (Thakurgaon district, Rangpur province), Dimla, Jaldhaka (Nilphamari district, Rangpur province), Hatibandha, Patgram, Aditmari (Lalmonirhat district, Rangpur province), Roumari, Chilmari, Ulipur (Kurigram district, Rangpur province), Gangachara, Pirganj (Rangpur district, Rangpur province)",135,BGD
2009,Transport accident,Bangladesh,,20,BGD
2009,Transport accident,Bangladesh,Padmar river,14,BGD
2009,Transport accident,Bangladesh,Daira river (Kirshorgank district),53,BGD
2009,Transport accident,Bangladesh,"Nazirpur, Lalmohon, Bhola",91,BGD
2009,Drought,Bangladesh,"Barisal, Chittagong, Dhaka, Khulna, Rajshahi, Rangpur, Sylhet provinces",,BGD
2009,Earthquake,Bhutan,"Monggar, Trashigang provinces",11,BTN
2009,Storm,Bhutan,"Chhukha, Dagana, Gasa, Haa, Paro, Punakha, Samtse, Thimphu, Tsirang, Wangduephodrang provinces",12,BTN
2009,Storm,China,Shijiazhuang district (Hebei Sheng province),17,CHN
2009,Storm,China,"Shaanxi Sheng, Hebei Sheng, Liaoning Sheng, Anhui Sheng, Hubei Sheng, Beijing Shi, Henan Sheng, Shandong Sheng provinces",41,CHN
2009,Storm,China,"Anhui Sheng, Hubei Sheng provinces",,CHN
2009,Earthquake,China,"Guantun village (Yao'an Xian area, Chuxiong Yi district, Yunnan Sheng province), Dali Bai district (Yunnan Sheng province)",1,CHN
2009,Flood,China,"Jiangxi Sheng, Hubei Sheng, Hunan Sheng, Guangdong Sheng provinces",49,CHN
2009,Flood,China,Guizhou Sheng province,11,CHN
2009,Flood,China,Chongqing Shi province,11,CHN
2009,Flood,China,"Hunan Sheng, Guizhou Sheng provinces",16,CHN
2009,Landslide,China,Wulong Xian area (Chongqing Shi province),72,CHN
2009,Landslide,China,"Kangding area (Garze Tibetan, Sichuan Sheng province), Beichuan area (Mianyang district, Sichuan Sheng province), Wenchuan area (Ngawa Tibetan and Quiang, Sichuan Sheng province), Qingchuan area (Guangyuan, Sichuan Sheng province)",54,CHN
2009,Landslide,China,Jixi district (Heilongjiang Sheng province),23,CHN
2009,Landslide,China,"Hanyuan Xian area (Ya'an district, Sichuan Sheng province)",31,CHN
2009,Landslide,China,"Zhongyang Xiang area (Luliang district, Shanxi Sheng province)",23,CHN
2009,Storm,China,"Hainan Sheng, Guangdong Sheng provinces",3,CHN
2009,Transport accident,China,Chnegdu (Sichuan),25,CHN
2009,Transport accident,China,Jiangxi province,16,CHN
2009,Transport accident,China,Hunan province,17,CHN
2009,Transport accident,China,Near Yangquan (Shanxi province),13,CHN
2009,Industrial accident,China,Yunnan province,10,CHN
2009,Industrial accident,China,Anwen city (Chongquinq region),30,CHN
2009,Industrial accident,China,Fengyang district (Anhui province),16,CHN
2009,Industrial accident,China,Luoyang (Henan province),2,CHN
2009,Industrial accident,China,Jinzhong (Shanxi porvince),14,CHN
2009,Industrial accident,China,Pingdingshan (Henan province),42,CHN
2009,Industrial accident,China,Linyi (Shandong province),18,CHN
2009,Industrial accident,China,Heilongjiang province,108,CHN
2009,Industrial accident,China,Jiexiu (Shanxi province),12,CHN
2009,Industrial accident,China,Changqing district (Shaanxi province),,CHN
2009,Industrial accident,China,Shanghang (Fujian province),,CHN
2009,Industrial accident,China,Liuyang (Hunan province),,CHN
2009,Industrial accident,China,Shantou (Guangdong province),13,CHN
2009,Industrial accident,China,Jilin province,,CHN
2009,Industrial accident,China,Shuozhou (Shanxi province),11,CHN
2009,Industrial accident,China,Hunan province,26,CHN
2009,Industrial accident,China,Meihekou (Jilin province),17,CHN
2009,Industrial accident,China,Chengdu (Sichuan province),10,CHN
2009,Industrial accident,China,Yunnan province,11,CHN
2009,Drought,China,"Chaiyang, Fuxin, Jinzhou, Huludao districts (Liaoning Sheng province)",,CHN
2009,Earthquake,Georgia,"Nigavzebi, Utsera , Gari, Nakieti villages (Oni district, Racha-Lechkhumi and Kvemo (lower) Svaneti province), Satchekhere district (Imereti province)",,GEO
2009,Storm,Hong Kong,Hong Kong,,HKG
2009,Earthquake,Indonesia,"Raba village (Kota Bima district, Nusatenggara Barat province)",2,IDN
2009,Flood,Indonesia,"Batang Gadis, Muara villages (Mandailingnatal district, Sumatera Utara province), Tapanuli Selatan district (Sumatera Utara province)",38,IDN
2009,Flood,Indonesia,Toli-toli district (Sulawesi Tengah province),,IDN
2009,Flood,Indonesia,"Siau Timur area (Kepulauan-sangihe district, Sulawesi Utara province)",6,IDN
2009,Landslide,Indonesia,Kota Palopo district (Sulawesi Selatan province),14,IDN
2009,Transport accident,Indonesia,"Geplak (Magetan, Java Isl.)",100,IDN
2009,Transport accident,Indonesia,Near Karimun Isl.,46,IDN
2009,Industrial accident,Indonesia,Sawah Lunto (Sumatra Island),41,IDN
2009,Miscellaneous accident,Indonesia,Bali Isl.,25,IDN
2009,Miscellaneous accident,Indonesia,Medan (North Sumatra),20,IDN
2009,Storm,India,"Bihar, Jharkhand provinces",35,IND
2009,Flood,India,Delhi province,11,IND
2009,Flood,India,"Bihar, Orissa, West Bengal, Assam, Kerala, Gujarat, Karnataka provinces",992,IND
2009,Flood,India,"Belgaum, Gulbarga, Bijapur, Raichur, Dharwad, Bagalkot, Bellary, Koppal, Haveri, Bidar, Gadag, Davanegere, Uttar Kannand, Dakshin Kannad districts (Karnataka province), Kurnool, Mahbubnagar, Karimnagar, Anantapur, Krishna, Cuddapah, Guntur, Khammam, Nalgonda districts (Andhra Pradesh province), Maharashtra province",355,IND
2009,Flood,India,"Darbhanga, Purnia, Sitamarhi, Saharsa, Madhubani districts (Bihar province)",52,IND
2009,Landslide,India,Pithoragarh district (Uttarakhand province),45,IND
2009,Landslide,India,"Lal, Bahadur, Shastri, Nagar slums (Mumbai Suburban district, Maharashtra province)",10,IND
2009,Storm,India,"Gujarat, Madhya Pradesh, Maharashtra provinces",20,IND
2009,Extreme temperature ,India,"Srinagar city ('72808' district, '40424' Jammu and Kashmir province), Uttar Pradesh, Himachal Pradesh, Delhi, Bihar provinces",100,IND
2009,Extreme temperature ,India,"Orissa, West Bengal, Bihar, Uttar Pradesh, Jharkhand, Andhra Pradesh provinces",120,IND
2009,Epidemic,India,Uttar Pradesh,311,IND
2009,Transport accident,India,Kerala,46,IND
2009,Transport accident,India,Near Mathura,22,IND
2009,Industrial accident,India,Jaipur (Rajasthan),11,IND
2009,Industrial accident,India,Tamil Nadu,33,IND
2009,Industrial accident,India,Korba,39,IND
2009,Miscellaneous accident,India,Rajastan state,45,IND
